client_id,total_power_usage,kwh,relevant_power_values,num_of_power_values,tasks_assigned,efficiency_per_task,efficiency,total_duration,time_per_task,avg_power
764045,6656.147416282159,0.0018489298378561551,"[15.3, 15.3, 11.5, 11.5, 14.6, 14.6, 12.5, 12.5, 12.5, 16.8, 16.8, 16.8, 23.7, 23.7, 22.9, 25.0, 25.0, 26.4, 26.4, 26.4, 25.0, 25.0, 26.9, 26.9, 30.7, 30.7, 30.7, 35.7, 35.7, 35.7, 29.4, 29.4, 27.7, 27.7, 27.7, 23.9, 23.9, 40.3, 40.3, 40.3, 44.1, 44.1, 46.0, 45.3, 46.9, 46.9, 40.9, 40.9, 40.9, 47.2, 47.2, 47.6, 49.8, 49.8, 51.0, 50.1, 48.7, 47.1, 47.1, 44.7, 44.0, 44.0, 41.5, 41.5, 41.5, 39.4, 39.4, 38.2, 37.3, 37.3, 35.4, 35.4, 34.6, 33.5, 33.5, 31.7, 31.7, 31.6, 31.1, 29.8, 29.8, 11.7, 11.7, 15.5, 15.5, 15.5, 23.5, 23.5, 17.3, 17.3, 14.6, 14.6, 14.6, 13.3, 13.3, 15.2, 15.2, 13.3, 13.3, 16.0, 16.0, 26.6, 26.6, 26.6]",104,1,0.0018489298378561551,540.8534058596327,226.0004346370697,226.0004346370697,29.451923076923077
444626,2567.4217523193356,0.0007131727089775932,[11.36],1,0,0.0,0.0,226.00543594360352,0.0,11.36
283436,655.4157642364502,0.00018205993451012506,[2.9],1,0,0.0,0.0,226.00543594360352,0.0,2.9
854514,2557.251507701874,0.0007103476410282983,[11.315],1,0,0.0,0.0,226.00543594360352,0.0,11.315
943099,949.2228309631348,0.0002636730086008708,[4.2],1,0,0.0,0.0,226.00543594360352,0.0,4.2
956975,16430.595193099976,0.004564054220305549,[72.7],1,0,0.0,0.0,226.00543594360352,0.0,72.7
0,16430.595193099976,0.004564054220305549,,1,0,0.0,0.0,226.00543594360352,0.0,16430.595193099976
764045,2264.9232594612313,0.0006291453498503421,"[11.3, 11.3, 11.3, 18.6, 18.6, 10.3, 10.3, 11.8, 11.8, 10.7, 10.7, 12.4, 12.4, 13.6, 13.6, 12.2, 12.2, 13.3, 13.3, 19.7, 19.7, 33.7, 33.7, 33.7, 29.0, 29.0, 30.8, 30.8, 28.5, 28.5, 28.5, 34.6, 34.6, 46.3, 46.3, 46.3, 43.9, 43.9, 41.8, 41.5, 41.5, 39.2, 39.2, 38.9, 35.0, 35.0, 35.0, 15.4, 15.4, 13.5, 13.5, 13.5, 12.0, 12.0, 16.1, 16.1, 41.9, 41.9, 41.9, 39.6, 39.6, 39.6, 38.4, 37.5, 37.5, 35.1, 35.1, 35.1, 33.1, 33.1, 31.5, 31.3, 31.3, 26.1, 26.1, 23.9, 23.9, 23.9]",78,1,0.0006291453498503421,1589.457825982303,83.99772453308105,83.99772453308105,26.96410256410256
444626,954.2482228088378,0.00026506895078023273,[11.36],1,0,0.0,0.0,84.00072383880615,0.0,11.36
283436,243.60209913253783,6.766724975903828e-05,[2.9],1,0,0.0,0.0,84.00072383880615,0.0,2.9
854514,950.4681902360916,0.00026401894173224766,[11.315],1,0,0.0,0.0,84.00072383880615,0.0,11.315
943099,352.80304012298586,9.800084447860718e-05,[4.2],1,0,0.0,0.0,84.00072383880615,0.0,4.2
956975,6106.852623081208,0.001696347950855891,[72.7],1,0,0.0,0.0,84.00072383880615,0.0,72.7
0,6106.852623081208,0.001696347950855891,,1,0,0.0,0.0,84.00072383880615,0.0,6106.852623081208
